"Country Region","Package Id",Type,"Net Price","Recommended retail price",Data,SMS,Voice,Networks
"United States",change-in-3days-unlimited,sim,5.7,12,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-3days-unlimited-topup,topup,5.7,12,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-5days-unlimited,sim,8.6,19.5,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-5days-unlimited-topup,topup,8.6,19.5,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-7days-unlimited,sim,11.6,28,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-7days-unlimited-topup,topup,11.6,28,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-10days-unlimited,sim,16.1,35,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-10days-unlimited-topup,topup,16.1,35,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-15days-unlimited,sim,23.6,49,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-15days-unlimited-topup,topup,23.6,49,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-30days-unlimited,sim,46,69,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-30days-unlimited-topup,topup,46,69,Unlimited,0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-plus-7days-1gb-topup,topup,1.7,7,"1 GB",10,20,"T-Mobile [5G]"
"United States",change-plus-15days-2gb,sim,3.3,12.5,"2 GB",20,40,"T-Mobile [5G]"
"United States",change-plus-15days-2gb-topup,topup,3.3,12.5,"2 GB",20,40,"T-Mobile [5G]"
"United States",change-plus-7days-1gb,sim,1.7,7,"1 GB",10,20,"T-Mobile [5G]"
"United States",change-plus-30days-3gb,sim,4.5,16,"3 GB",30,60,"T-Mobile [5G]"
"United States",change-plus-30days-3gb-topup,topup,4.5,16,"3 GB",30,60,"T-Mobile [5G]"
"United States",change-plus-30days-5gb,sim,7,22.5,"5 GB",50,100,"T-Mobile [5G]"
"United States",change-plus-30days-5gb-topup,topup,7,22.5,"5 GB",50,100,"T-Mobile [5G]"
"United States",change-plus-30days-10gb,sim,12.6,34.5,"10 GB",100,200,"T-Mobile [5G]"
"United States",change-plus-30days-10gb-topup,topup,12.6,34.5,"10 GB",100,200,"T-Mobile [5G]"
"United States",change-plus-30days-20gb,sim,20.4,49,"20 GB",200,400,"T-Mobile [5G]"
"United States",change-plus-365days-10gb,sim,40.5,49,"10 GB",30,75,"T-Mobile [5G]"
"United States",change-plus-365days-10gb-topup,topup,40.5,49,"10 GB",30,75,"T-Mobile [5G]"
"United States",change-plus-30days-20gb-topup,topup,20.4,49,"20 GB",200,400,"T-Mobile [5G]"
"United States",change-in-7days-1gb,sim,1.9,4.5,"1 GB",0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-7days-1gb-topup,topup,1.9,4.5,"1 GB",0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-15days-2gb,sim,2.8,7,"2 GB",0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-15days-2gb-topup,topup,2.8,7,"2 GB",0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-30days-5gb,sim,5.1,14,"5 GB",0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
"United States",change-in-30days-5gb-topup,topup,5.1,14,"5 GB",0,0,"T-Mobile [5G], Verizon [5G], U.S. Cellular [5G]"
